Energy	68Ga	68GaSaturation	67Ga	67GaSaturation	67Ga1	67GaSaturation1	66Ga	66GaSaturation	Range
	p,n		p,n		p,2n		p,n		
MeV	mb	MBq/uA	mb	MBq/uA	mb	MBq/uA	mb	MBq/uA	um
2	0	0	0.3	0.02	0	0	0	0	24
2.1	0	0	0.5	0.06	0	0	0	0	25.8444776
2.2	0	0	1.0	0.13	0	0	0	0	27.74165174
2.3	0	0	1.8	0.26	0	0	0	0	29.6915224
2.4	0	0	2.7	0.46	0	0	0	0	31.69411545
2.5	0	0	3.8	0.76	0	0	0	0	33.75
2.6	0	0	5.2	1.18	0	0	0	0	35.85940886
2.7	0	0	7.1	1.77	0	0	0	0	38.02094515
2.8	0	0	9.3	2.55	0	0	0	0	40.23119425
2.9	0	0	12.1	3.59	0	0	0	0	42.49010634
3	0	0	15.3	4.94	0	0	0	0	44.8
3.1	0	0	19.0	6.65	0	0	0	0	47.16182372
3.2	0	0	23.1	8.78	0	0	0	0	49.57488337
3.3	0	0	27.7	11.37	0	0	0	0	52.03748213
3.4	0.4	0.04	32.6	14.49	0	0	0	0	54.54950025
3.5	3.2	0.36	37.9	18.20	0	0	0	0	57.11
3.6	7.2	1.11	43.7	22.53	0	0	0	0	59.71859776
3.7	13.3	2.50	49.7	27.55	0	0	0	0	62.37468939
3.8	21.5	4.80	56.1	33.33	0	0	0	0	65.07679809
3.9	31.3	8.19	62.8	39.93	0	0	0	0	67.82490212
4.0	42.3	12.86	69.9	47.37	0	0	0	0	70.62
4.1	54.3	18.96	77.2	55.76	0	0	0	0	73.46250023
4.2	67.0	26.60	84.9	65.12	0	0	0	0	76.35240282
4.3	80.3	35.92	92.9	75.53	0	0	0	0	79.28944676
4.4	94.1	47.00	101.1	87.08	0	0	0	0	82.27206615
4.5	108.3	59.96	109.7	99.75	0	0	0	0	85.3
4.6	122.7	74.86	118.7	113.73	0	0	0	0	88.3732483
4.7	137.2	91.78	128.1	128.97	0	0	0	0	91.49181106
4.8	151.7	110.76	137.8	145.65	0	0	0	0	94.65571284
4.9	166.1	131.84	148.0	163.85	0	0	0	0	97.86510097
5.0	180.3	155.03	158.6	183.61	0	0	1.6	0.205829209	101.12
5.1	194.1	180.34	167.4	204.74	0	0	1.7	0.427498761	104.4204099
5.2	207.6	207.77	174.0	226.98	0	0	1.8	0.66535221	107.7663308
5.3	220.7	237.32	181.0	250.47	0	0	1.9	0.919736656	111.1574762
5.4	233.6	269.00	188.4	275.15	0	0	2.3	1.23168816	114.5921281
5.5	246.2	302.82	196.1	301.17	0	0	3.0	1.643811458	118.07
5.6	258.7	338.81	204.3	328.67	0	0	3.7	2.158539271	121.591092
5.7	271.0	376.98	212.8	357.57	0	0	5.1	2.876879255	125.1554042
5.8	283.2	417.35	221.6	388.11	0	0	7.0	3.874936153	128.76303
5.9	295.3	459.96	230.7	420.38	0	0	9.4	5.231368979	132.4145307
6.0	307.4	504.85	240.0	454.43	0	0	12.3	7.027370588	136.11
6.1	319.5	552.04	249.6	490.14	0	0	14.5	9.169377373	139.8494378
6.2	331.6	601.60	259.5	527.67	0	0	19.1	12.02341257	143.6328442
6.3	343.8	653.55	269.5	567.19	0	0	24.6	15.74097216	147.459944
6.4	355.9	707.93	279.7	608.55	0	0	31.6	20.56969703	151.3290877
6.5	368.1	764.80	290.1	651.78	0	0	39.8	26.71832933	155.24
6.6	380.2	824.17	300.6	697.31	0	0	50.8	34.65134666	159.1926811
6.7	392.4	886.11	311.2	744.70	0	0	61.7	44.38930349	163.1871309
6.8	404.6	950.63	322.0	794.37	0	0	75.8	56.47829881	167.2233058
6.9	416.7	1017.78	332.8	846.25	0	0	89.6	70.91242878	171.3009434
7.0	428.9	1087.58	343.7	900.52	0	0	102.8	87.64596813	175.42
7.1	441.0	1160.09	354.7	957.08	0	0	116.4	106.7781766	179.5804756
7.2	453.1	1235.32	365.7	1015.99	0	0	130.2	128.3976481	183.7823703
7.3	465.2	1313.32	376.7	1077.28	0	0	144.2	152.5826246	188.025684
7.4	477.3	1394.13	387.7	1140.97	0	0	158.4	179.4004668	192.3104167
7.5	489.4	1477.78	398.7	1206.95	0	0	172.6	208.9072008	196.6365684
7.6	501.5	1564.31	409.6	1275.39	0	0	186.9	241.147067	201.0037947
7.7	513.6	1653.76	420.5	1346.33	0	0	201.0	276.1520715	205.411751
7.8	525.7	1746.16	431.3	1419.77	0	0	215.0	313.9415381	209.8604373
7.9	537.9	1841.57	441.9	1495.56	0	0	228.8	354.5216648	214.3498536
8.0	550.0	1940.01	452.5	1574.06	0	0	242.3	397.8850689	218.88
8.1	562.2	2041.53	462.9	1654.93	0	0	255.4	444.0144163	223.4508764
8.2	574.3	2146.17	473.1	1738.35	0	0	268.3	492.8982028	228.0624828
8.3	586.5	2253.97	483.2	1824.51	0	0	281.0	544.5351197	232.7148192
8.4	598.7	2364.96	493.1	1913.22	0	0	293.4	598.9344217	237.4078857
8.5	610.9	2479.18	502.7	2004.47	0	0	305.8	656.1163359	242.1416822
8.6	623.1	2596.68	512.1	2098.25	0	0	318.2	716.1124668	246.9157441
8.7	635.2	2717.47	521.3	2194.33	0	0	330.5	778.9662004	251.7296068
8.8	647.3	2841.58	530.2	2292.90	0	0	343.0	844.7331086	256.5832704
8.9	659.4	2969.06	538.7	2393.92	0	0	355.6	913.4813484	261.4767348
9.0	671.4	3099.93	547.0	2497.15	0	0	368.4	985.2920656	266.41
9.1	683.4	3234.21	554.9	2602.76	0	0	381.5	1060.255729	271.383066
9.2	695.3	3371.92	562.4	2710.70	0	0	394.8	1138.456267	276.3959329
9.3	707.1	3513.08	569.5	2820.47	0	0	408.3	1219.967137	281.4486006
9.4	718.8	3657.69	576.3	2932.93	0	0	421.9	1304.851104	286.5410691
9.5	730.3	3805.76	582.6	3047.08	0	0	435.5	1393.159887	291.6733385
9.6	741.6	3957.28	588.4	3163.78	0	0	449.2	1484.933804	296.8449408
9.7	752.7	4112.24	593.8	3282.51	0	0	462.8	1580.201422	302.0554081
9.8	763.6	4270.63	598.6	3402.92	0	0	476.3	1678.979212	307.3047404
9.9	774.3	4432.41	602.9	3525.17	0	0	489.6	1781.271203	312.5929377
10.0	784.6	4597.56	606.5	3649.12	0	0	502.6	1887.068627	317.92
10.1	794.6	4766.03	609.3	3774.12	0	0	515.4	1996.349845	323.2859273
10.2	804.3	4937.79	611.5	3901.04	0	0	527.9	2109.080318	328.6907197
10.3	813.6	5112.77	613.1	4028.79	0	0	540.0	2225.211863	334.1343771
10.4	822.4	5290.89	614.0	4157.72	0	0	551.6	2344.682065	339.6168995
10.5	830.7	5472.09	614.4	4287.46	0	0	562.7	2467.413932	345.1382869
10.6	838.5	5656.26	614.1	4418.13	0	0	573.2	2593.315553	350.6982113
10.7	845.7	5843.30	613.5	4549.65	0	0	583.1	2722.279762	356.2963448
10.8	852.3	6033.08	612.6	4681.72	0	0	592.3	2854.1838	361.9326875
10.9	858.2	6225.48	611.2	4814.21	0	0	600.8	2988.888973	367.6072392
11.0	863.3	6420.34	609.2	4947.49	0	0	608.5	3126.240327	373.32
11.1	867.8	6617.52	606.7	5080.96	0	0	615.4	3266.068187	379.0709699
11.2	871.4	6816.83	603.8	5214.76	0	0	621.4	3408.196202	384.8601489
11.3	874.2	7018.10	600.5	5349.02	0	0	626.5	3552.443295	390.687537
11.4	876.2	7221.14	596.8	5483.17	0	0	630.8	3698.623819	396.5531341
11.5	877.3	7425.76	592.7	5617.34	0	0	634.2	3846.547558	402.4569404
11.6	877.5	7631.73	588.2	5751.21	0	0	636.8	3996.019723	408.3985914
11.7	876.8	7838.84	583.4	5884.93	0	0	638.5	4146.84095	414.3777229
11.8	875.1	8046.87	578.3	6018.17	0	0	639.3	4298.8073	420.3943348
11.9	872.5	8255.57	572.9	6150.86	0	0	639.2	4451.710254	426.4484272
12.0	868.9	8464.70	567.2	6283.36	0	0	638.3	4605.336757	432.54
12.1	864.2	8673.98	561.3	6415.15	0	0	636.5	4759.471234	438.6690533
12.2	858.6	8883.18	555.1	6546.15	0.004	0.00	633.8	4913.904185	444.835587
12.3	852.0	9092.02	548.6	6676.52	0.3	0.07	630.4	5068.434415	451.0396012
12.4	844.5	9300.27	541.9	6805.94	2.0	0.53	626.3	5222.869256	457.2810958
12.5	836.1	9507.67	535.0	6934.36	5.9	1.92	621.4	5377.024872	463.5600709
12.6	826.8	9713.98	527.9	7061.91	12.4	4.86	616.0	5530.726548	469.8762403
12.7	816.7	9918.97	520.6	7188.53	21.4	9.99	609.9	5683.808989	476.2293179
12.8	805.8	10122.41	513.1	7313.94	32.7	17.85	603.3	5836.116611	482.6193037
12.9	794.2	10324.07	505.4	7438.29	45.9	28.98	596.2	5987.503838	489.0461978
13.0	781.8	10523.72	497.6	7561.31	59.9	43.57	588.6	6137.835373	495.51
13.1	768.7	10721.17	489.6	7683.15	74.1	61.74	580.7	6286.986279	502.0107104
13.2	755.1	10916.20	481.5	7803.73	88.5	83.59	572.4	6434.8407	508.5483291
13.3	740.8	11108.64	473.3	7923.02	100.9	108.64	563.8	6581.29184	515.122856
13.4	726.1	11298.30	465.0	8040.96	114.2	137.17	554.9	6726.242103	521.734291
13.5	711.0	11485.03	456.5	8157.31	128.4	169.41	545.8	6869.603322	528.3826343
13.6	695.4	11668.69	448.0	8272.03	143.3	205.57	536.5	7011.297006	535.0675668
13.7	679.6	11849.15	439.5	8385.26	158.8	245.88	527.1	7151.254564	541.7887697
13.8	663.6	12026.31	430.9	8496.79	174.8	290.46	517.5	7289.417551	548.5462428
13.9	647.3	12200.07	422.2	8606.59	191.2	339.45	507.9	7425.737893	555.3399863
14.0	631.0	12370.36	413.5	8714.80	207.9	393.05	498.2	7560.178107	562.17
14.1	614.7	12537.11	404.9	8821.22	224.9	451.30	488.5	7692.7103	569.0362841
14.2	598.3	12700.29	396.2	8925.99	242.1	514.38	478.9	7823.311958	575.9388384
14.3	582.0	12859.85	387.5	9028.94	259.3	582.24	469.3	7951.964585	582.8776631
14.4	565.8	13015.77	378.9	9130.19	276.4	655.03	459.7	8078.653903	589.852758
14.5	549.7	13168.04	370.3	9229.60	293.4	732.64	450.2	8203.369935	596.8641233
14.6	533.7	13316.64	361.7	9327.00	310.1	814.92	440.8	8326.107088	603.9115587
14.7	517.9	13461.59	353.2	9422.82	326.6	902.21	431.5	8446.864235	610.9948641
14.8	502.4	13602.91	344.8	9516.77	342.7	994.22	422.3	8565.644794	618.1140394
14.9	487.1	13740.62	336.5	9608.87	358.5	1090.89	413.2	8682.456812	625.2690847
15.0	472.2	13874.77	328.3	9699.24	373.9	1192.31	404.3	8797.313091	632.46
15.1	457.5	14005.40	320.2	9787.76	389.0	1298.28	395.5	8910.230517	639.6867852
15.2	443.2	14132.58	312.2	9874.58	403.8	1408.92	386.8	9021.22793	646.9494404
15.3	429.3	14256.37	304.3	9959.58	418.2	1524.00	378.3	9130.325276	654.2479656
15.4	415.7	14376.82	296.6	10042.79	432.3	1643.48	370.0	9237.543595	661.5823607
15.5	402.5	14494.00	289.1	10124.21	446.1	1767.29	361.9	9342.90503	668.9526258
15.6	389.6	14607.99	281.6	10204.00	459.5	1895.54	353.8	9446.432831	676.3586809
15.7	377.1	14718.84	274.4	10282.17	472.5	2028.18	346.0	9548.151361	683.8004458
15.8	364.9	14826.64	267.3	10358.75	485.1	2165.12	338.3	9648.086104	691.2779206
15.9	353.2	14931.46	260.4	10433.77	497.3	2306.30	330.8	9746.263669	698.7911054
16.0	341.8	15033.37	253.7	10507.06	509.2	2451.24	323.5	9842.711825	706.34
16.1	330.8	15132.46	247.1	10578.95	520.6	2600.45	316.3	9937.459362	713.9246045
16.2	320.1	15228.81	240.8	10649.19	531.6	2753.24	309.2	10030.53552	721.544919
16.3	309.8	15322.49	234.6	10718.00	542.2	2909.95	302.4	10121.96956	729.2009433
16.4	299.9	15413.59	228.6	10785.43	552.5	3070.49	295.7	10211.7906	736.8926776
16.5	290.3	15502.18	222.9	10851.25	562.4	3234.12	289.1	10300.0276	744.6201217
16.6	281.0	15588.34	217.3	10915.85	571.9	3401.64	282.7	10386.70933	752.3811561
16.7	272.1	15672.15	211.9	10979.09	581.0	3572.52	276.5	10471.86441	760.1736612
16.8	263.5	15753.67	206.6	11041.10	589.7	3746.90	270.4	10555.52123	767.9976368
16.9	255.2	15832.99	201.6	11101.85	598.0	3924.45	264.5	10637.70798	775.8530831
17.0	247.2	15910.17	196.7	11161.36	606.0	4105.09	258.7	10718.45258	783.74
17.1	239.6	15985.29	192.0	11219.68	613.6	4288.73	253.0	10797.78255	791.6583875
17.2	232.1	16058.41	187.5	11276.86	620.9	4475.27	247.5	10875.72425	799.6082457
17.3	225.0	16129.60	183.2	11333.08	627.8	4665.14	242.1	10952.30354	807.5895744
17.4	218.2	16198.93	179.0	11388.17	634.4	4857.50	236.8	11027.54588	815.6023738
17.5	211.6	16266.44	175.0	11442.22	640.7	5052.54	231.7	11101.4764	823.6466438
17.6	205.2	16332.22	171.1	11495.37	646.7	5250.42	226.6	11174.11979	831.7343823
17.7	199.1	16396.32	167.4	11547.49	652.5	5450.57	221.8	11245.50035	839.8775872
17.8	193.2	16458.79	163.9	11598.77	658.0	5653.45	217.0	11315.64194	848.0762584
17.9	187.6	16519.69	160.5	11649.24	663.2	5859.01	212.3	11384.56796	856.330396
18.0	182.2	16579.07	157.2	11698.88	668.3	6066.91	207.8	11452.30131	864.64
18.1	176.9	16636.99	154.1	11747.70	673.1	6277.11	203.3	11518.86394	873.0050703
18.2	171.9	16693.50	151.1	11795.82	677.7	6489.82	199.0	11584.27546	881.4256071
18.3	167.1	16748.63	148.2	11843.15	682.1	6704.44	194.8	11648.55474	889.9016101
18.4	162.4	16802.45	145.4	11889.83	686.2	6921.45	190.7	11711.72044	898.4330796
18.5	158.0	16854.98	142.8	11935.84	690.2	7140.52	186.6	11773.79094	907.0200154
