68Zn(p,n)68Ga						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
3.4	0.4	0.4	2.39E-02	6.46E-04	1.79E-02	3.89E-02
3.5	3.2	3.2	2.23E-01	6.03E-03	1.67E-01	3.63E-01
3.6	7.2	7.2	6.79E-01	1.84E-02	5.07E-01	1.11E+00
3.7	13.3	13.3	1.54E+00	4.16E-02	1.15E+00	2.50E+00
3.8	21.5	21.5	2.95E+00	7.96E-02	2.20E+00	4.80E+00
3.9	31.3	31.3	5.03E+00	1.36E-01	3.76E+00	8.19E+00
4.0	42.3	42.3	7.90E+00	2.14E-01	5.90E+00	1.29E+01
4.1	54.3	6.8	1.16E+01	3.15E-01	8.70E+00	1.90E+01
4.2	67.0	8.4	1.63E+01	4.42E-01	1.22E+01	2.66E+01
4.3	80.3	10.1	2.21E+01	5.96E-01	1.65E+01	3.59E+01
4.4	94.1	11.8	2.89E+01	7.80E-01	2.16E+01	4.70E+01
4.5	108.3	13.6	3.68E+01	9.95E-01	2.75E+01	6.00E+01
4.6	122.7	15.4	4.60E+01	1.24E+00	3.44E+01	7.49E+01
4.7	137.2	17.3	5.64E+01	1.52E+00	4.21E+01	9.18E+01
4.8	151.7	19.1	6.80E+01	1.84E+00	5.08E+01	1.11E+02
4.9	166.1	20.9	8.10E+01	2.19E+00	6.05E+01	1.32E+02
5.0	180.3	22.7	9.52E+01	2.57E+00	7.11E+01	1.55E+02
5.1	194.1	16.7	1.11E+02	2.99E+00	8.28E+01	1.80E+02
5.2	207.6	17.8	1.28E+02	3.45E+00	9.54E+01	2.08E+02
5.3	220.7	18.9	1.46E+02	3.94E+00	1.09E+02	2.37E+02
5.4	233.6	20.0	1.65E+02	4.47E+00	1.23E+02	2.69E+02
5.5	246.2	21.1	1.86E+02	5.03E+00	1.39E+02	3.03E+02
5.6	258.7	22.2	2.08E+02	5.62E+00	1.55E+02	3.39E+02
5.7	271.0	23.2	2.32E+02	6.26E+00	1.73E+02	3.77E+02
5.8	283.2	24.3	2.56E+02	6.93E+00	1.92E+02	4.17E+02
5.9	295.3	25.3	2.83E+02	7.64E+00	2.11E+02	4.60E+02
6.0	307.4	26.4	3.10E+02	8.38E+00	2.32E+02	5.05E+02
6.1	319.5	23.9	3.39E+02	9.16E+00	2.53E+02	5.52E+02
6.2	331.6	24.8	3.70E+02	9.99E+00	2.76E+02	6.02E+02
6.3	343.8	25.7	4.01E+02	1.08E+01	3.00E+02	6.54E+02
6.4	355.9	26.7	4.35E+02	1.18E+01	3.25E+02	7.08E+02
6.5	368.1	27.6	4.70E+02	1.27E+01	3.51E+02	7.65E+02
6.6	380.2	28.5	5.06E+02	1.37E+01	3.78E+02	8.24E+02
6.7	392.4	29.4	5.44E+02	1.47E+01	4.07E+02	8.86E+02
6.8	404.6	30.3	5.84E+02	1.58E+01	4.36E+02	9.51E+02
6.9	416.7	31.2	6.25E+02	1.69E+01	4.67E+02	1.02E+03
7.0	428.9	32.1	6.68E+02	1.81E+01	4.99E+02	1.09E+03
7.1	441.0	22.3	7.13E+02	1.93E+01	5.32E+02	1.16E+03
7.2	453.1	22.9	7.59E+02	2.05E+01	5.67E+02	1.24E+03
7.3	465.2	23.5	8.07E+02	2.18E+01	6.03E+02	1.31E+03
7.4	477.3	24.1	8.56E+02	2.31E+01	6.40E+02	1.39E+03
7.5	489.4	24.7	9.08E+02	2.45E+01	6.78E+02	1.48E+03
7.6	501.5	25.3	9.61E+02	2.60E+01	7.18E+02	1.56E+03
7.7	513.6	26.0	1.02E+03	2.75E+01	7.59E+02	1.65E+03
7.8	525.7	26.6	1.07E+03	2.90E+01	8.01E+02	1.75E+03
7.9	537.9	27.2	1.13E+03	3.06E+01	8.45E+02	1.84E+03
8.0	550.0	27.8	1.19E+03	3.22E+01	8.90E+02	1.94E+03
8.1	562.2	30.0	1.25E+03	3.39E+01	9.37E+02	2.04E+03
8.2	574.3	30.7	1.32E+03	3.56E+01	9.85E+02	2.15E+03
8.3	586.5	31.3	1.38E+03	3.74E+01	1.03E+03	2.25E+03
8.4	598.7	32.0	1.45E+03	3.93E+01	1.09E+03	2.36E+03
8.5	610.9	32.6	1.52E+03	4.12E+01	1.14E+03	2.48E+03
8.6	623.1	33.3	1.59E+03	4.31E+01	1.19E+03	2.60E+03
8.7	635.2	33.9	1.67E+03	4.51E+01	1.25E+03	2.72E+03
8.8	647.3	34.6	1.75E+03	4.72E+01	1.30E+03	2.84E+03
8.9	659.4	35.2	1.82E+03	4.93E+01	1.36E+03	2.97E+03
9.0	671.4	35.9	1.90E+03	5.15E+01	1.42E+03	3.10E+03
9.1	683.4	38.9	1.99E+03	5.37E+01	1.48E+03	3.23E+03
9.2	695.3	39.6	2.07E+03	5.60E+01	1.55E+03	3.37E+03
9.3	707.1	40.3	2.16E+03	5.83E+01	1.61E+03	3.51E+03
9.4	718.8	40.9	2.25E+03	6.07E+01	1.68E+03	3.66E+03
9.5	730.3	41.6	2.34E+03	6.32E+01	1.75E+03	3.81E+03
9.6	741.6	42.2	2.43E+03	6.57E+01	1.82E+03	3.96E+03
9.7	752.7	42.8	2.53E+03	6.83E+01	1.89E+03	4.11E+03
9.8	763.6	43.5	2.62E+03	7.09E+01	1.96E+03	4.27E+03
9.9	774.3	44.1	2.72E+03	7.36E+01	2.03E+03	4.43E+03
10.0	784.6	44.7	2.82E+03	7.63E+01	2.11E+03	4.60E+03
10.1	794.6	47.3	2.93E+03	7.91E+01	2.19E+03	4.77E+03
10.2	804.3	47.8	3.03E+03	8.20E+01	2.27E+03	4.94E+03
10.3	813.6	48.4	3.14E+03	8.49E+01	2.35E+03	5.11E+03
10.4	822.4	48.9	3.25E+03	8.78E+01	2.43E+03	5.29E+03
10.5	830.7	49.4	3.36E+03	9.08E+01	2.51E+03	5.47E+03
10.6	838.5	49.9	3.47E+03	9.39E+01	2.60E+03	5.66E+03
10.7	845.7	50.3	3.59E+03	9.70E+01	2.68E+03	5.84E+03
10.8	852.3	50.7	3.71E+03	1.00E+02	2.77E+03	6.03E+03
10.9	858.2	51.0	3.82E+03	1.03E+02	2.86E+03	6.23E+03
11.0	863.3	51.3	3.94E+03	1.07E+02	2.95E+03	6.42E+03
11.1	867.8	50.8	4.06E+03	1.10E+02	3.04E+03	6.62E+03
11.2	871.4	51.0	4.19E+03	1.13E+02	3.13E+03	6.82E+03
11.3	874.2	51.2	4.31E+03	1.17E+02	3.22E+03	7.02E+03
11.4	876.2	51.3	4.44E+03	1.20E+02	3.31E+03	7.22E+03
11.5	877.3	51.4	4.56E+03	1.23E+02	3.41E+03	7.43E+03
11.6	877.5	51.4	4.69E+03	1.27E+02	3.50E+03	7.63E+03
11.7	876.8	51.4	4.81E+03	1.30E+02	3.60E+03	7.84E+03
11.8	875.1	51.3	4.94E+03	1.34E+02	3.69E+03	8.05E+03
11.9	872.5	51.1	5.07E+03	1.37E+02	3.79E+03	8.26E+03
12.0	868.9	50.9	5.20E+03	1.41E+02	3.88E+03	8.46E+03
12.1	864.2	48.1	5.33E+03	1.44E+02	3.98E+03	8.67E+03
12.2	858.6	47.8	5.46E+03	1.47E+02	4.08E+03	8.88E+03
12.3	852.0	47.4	5.58E+03	1.51E+02	4.17E+03	9.09E+03
12.4	844.5	47.0	5.71E+03	1.54E+02	4.27E+03	9.30E+03
12.5	836.1	46.5	5.84E+03	1.58E+02	4.36E+03	9.51E+03
12.6	826.8	46.0	5.97E+03	1.61E+02	4.46E+03	9.71E+03
12.7	816.7	45.5	6.09E+03	1.65E+02	4.55E+03	9.92E+03
12.8	805.8	44.8	6.22E+03	1.68E+02	4.65E+03	1.01E+04
12.9	794.2	44.2	6.34E+03	1.71E+02	4.74E+03	1.03E+04
13.0	781.8	43.5	6.46E+03	1.75E+02	4.83E+03	1.05E+04
13.1	768.7	41.8	6.59E+03	1.78E+02	4.92E+03	1.07E+04
13.2	755.1	41.1	6.70E+03	1.81E+02	5.01E+03	1.09E+04
13.3	740.8	40.3	6.82E+03	1.84E+02	5.10E+03	1.11E+04
13.4	726.1	39.5	6.94E+03	1.88E+02	5.19E+03	1.13E+04
13.5	711.0	38.7	7.05E+03	1.91E+02	5.27E+03	1.15E+04
13.6	695.4	37.8	7.17E+03	1.94E+02	5.36E+03	1.17E+04
13.7	679.6	37.0	7.28E+03	1.97E+02	5.44E+03	1.18E+04
13.8	663.6	36.1	7.39E+03	2.00E+02	5.52E+03	1.20E+04
13.9	647.3	35.2	7.49E+03	2.03E+02	5.60E+03	1.22E+04
14.0	631.0	34.3	7.60E+03	2.05E+02	5.68E+03	1.24E+04
14.1	614.7	34.6	7.70E+03	2.08E+02	5.75E+03	1.25E+04
14.2	598.3	33.6	7.80E+03	2.11E+02	5.83E+03	1.27E+04
14.3	582.0	32.7	7.90E+03	2.13E+02	5.90E+03	1.29E+04
14.4	565.8	31.8	7.99E+03	2.16E+02	5.97E+03	1.30E+04
14.5	549.7	30.9	8.09E+03	2.19E+02	6.04E+03	1.32E+04
14.6	533.7	30.0	8.18E+03	2.21E+02	6.11E+03	1.33E+04
14.7	517.9	29.1	8.27E+03	2.23E+02	6.18E+03	1.35E+04
14.8	502.4	28.2	8.36E+03	2.26E+02	6.24E+03	1.36E+04
14.9	487.1	27.4	8.44E+03	2.28E+02	6.31E+03	1.37E+04
15.0	472.2	26.5	8.52E+03	2.30E+02	6.37E+03	1.39E+04
15.1	457.5	27.2	8.60E+03	2.32E+02	6.43E+03	1.40E+04
15.2	443.2	26.3	8.68E+03	2.35E+02	6.49E+03	1.41E+04
15.3	429.3	25.5	8.76E+03	2.37E+02	6.54E+03	1.43E+04
15.4	415.7	24.7	8.83E+03	2.39E+02	6.60E+03	1.44E+04
15.5	402.5	23.9	8.90E+03	2.41E+02	6.65E+03	1.45E+04
